lacode,cumulativecases,incidencerate,Environment_Score,Income_Score,Education_Score,Health_Score,Employment_Score,Crime_Score,Housing_and_Access_Score,imd_Score
E08000034,149890,33966.3,31.195,0.143,25.144,0.166,0.113,0.483,18.323,25.151
E08000035,300187,37580.4,35.006,0.143,26.25,0.415,0.107,0.666,15.464,27.301
E08000036,128353,36506.2,14.29,0.147,35.794,0.539,0.132,0.514,15.797,27.306
E08000037,77297,38275.3,11.259,0.167,26.881,0.824,0.139,0.357,17.644,28.217
E09000001,3123693,34777.3,38.972,0.065,5.457,-0.686,0.052,-1.656,35.656,14.72
E09000002,73881,34506.6,29.103,0.194,25.513,0.204,0.117,0.542,46.252,32.768
E09000003,137621,34490.9,24.662,0.111,7.83,-1.074,0.073,0.082,31.211,16.148
E09000004,88529,35510.9,19.754,0.106,18.331,-0.561,0.077,-0.13,25.879,16.273
E09000005,110486,33710.1,28.694,0.155,15.223,-0.453,0.097,0.428,42.783,25.558
E09000006,119577,35935.8,18.37,0.091,10.551,-0.908,0.068,-0.038,27.839,14.163
E09000007,79356,28390.5,33.469,0.141,10.523,-0.556,0.091,0.325,21.611,20.131
E09000008,135239,34804.9,26.027,0.136,15.577,-0.174,0.092,0.28,33.996,22.477
E09000009,129184,37957.2,30.34,0.14,12.546,-0.326,0.091,0.239,36.52,22.71
E09000010,103877,31139.4,27.479,0.171,20.255,-0.535,0.102,0.199,39.666,25.781
E09000011,98212,33979.4,24.635,0.159,15.639,-0.021,0.102,0.457,32.314,24.464
E09000012,96879,33191.5,36.053,0.196,14.972,0.371,0.114,0.621,42.745,32.526
E09000013,68596,37373.1,35.009,0.142,8.141,-0.05,0.094,0.34,28.264,22.27
E09000014,89840,33729.2,34.361,0.17,17.6,-0.128,0.106,0.732,35.08,27.956
E09000015,89345,35406.9,18.953,0.109,8.044,-1.04,0.067,-0.143,33.882,15.031
E09000016,97212,37295.8,16.749,0.108,22.594,-0.538,0.078,0.13,22.713,16.789
E09000017,111046,35935.6,20.298,0.114,16.402,-0.379,0.075,0.235,29.628,18.223
E09000018,102067,37556.8,29.818,0.129,13.287,-0.27,0.079,0.373,35.101,21.487
E09000019,81088,32681.6,35.373,0.179,12.483,0.274,0.111,0.607,28.204,27.535
E09000020,48731,31065.8,42.014,0.117,5.192,-1.243,0.08,0.331,36.056,21.526
E09000021,65640,36641.3,24.718,0.078,6.938,-0.963,0.053,-0.332,24.744,11.381
E09000022,120289,37378.5,44.402,0.153,10.493,0.148,0.093,0.532,28.43,25.422
E09000023,104029,34073.3,36.405,0.164,13.911,0.067,0.104,0.402,34.751,26.661
E09000024,78731,38135.1,29.557,0.1,9.184,-0.615,0.064,-0.051,22.234,14.649
E09000025,114239,32155.9,32.471,0.169,17.775,-0.03,0.093,0.497,49.306,29.577
E09000026,107167,35061.1,25.177,0.121,11.126,-0.74,0.072,0.295,27.979,17.203
E09000027,72709,36695.6,26.621,0.064,3.534,-1.373,0.05,-0.07,17.494,9.425
E09000028,110907,34656.6,35.982,0.162,11.086,0.112,0.097,0.475,32.727,25.811
E09000029,79677,38360.3,21.317,0.095,11.953,-0.57,0.07,-0.174,22.792,13.987
